time,.data
2020/04/03/19:47:22.428432,"(-10.475830078125, -0.5267181396484375, -0.7984619140625)"
2020/04/03/19:47:22.532734,"(-9.979034423828125, -0.6991119384765625, -0.2454071044921875)"
2020/04/03/19:47:22.638107,"(-10.029312133789062, -0.58538818359375, -0.7422027587890625)"
2020/04/03/19:47:22.741808,"(-10.078399658203125, -0.766143798828125, -0.110137939453125)"
2020/04/03/19:47:22.846113,"(-10.27471923828125, -0.4632720947265625, -0.555450439453125)"
2020/04/03/19:47:22.952362,"(-9.920379638671875, -0.656005859375, -0.168792724609375)"
2020/04/03/19:47:23.055141,"(-10.117889404296875, -0.44891357421875, -0.7098846435546875)"
2020/04/03/19:47:23.162028,"(-10.1226806640625, -0.49560546875, -0.38067626953125)"
2020/04/03/19:47:23.263058,"(-10.254364013671875, -0.574615478515625, -0.7888946533203125)"
2020/04/03/19:47:23.368223,"(-10.28070068359375, -0.6428375244140625, -0.215484619140625)"
2020/04/03/19:47:23.473980,"(-10.297454833984375, -0.5722198486328125, -0.6943206787109375)"
2020/04/03/19:47:23.576631,"(-10.098739624023438, -0.6201019287109375, -0.20111083984375)"
2020/04/03/19:47:23.679562,"(-9.9993896484375, -0.502777099609375, -0.4465179443359375)"
2020/04/03/19:47:23.783532,"(-10.025726318359375, -0.85113525390625, -0.136474609375)"
2020/04/03/19:47:23.884807,"(-10.017333984375, -0.6883392333984375, -0.407012939453125)"
2020/04/03/19:47:23.989234,"(-9.583984375, -0.729034423828125, -0.237030029296875)"
2020/04/03/19:47:24.093614,"(-10.055648803710938, -0.69671630859375, -0.52313232421875)"
2020/04/03/19:47:24.198056,"(-10.05206298828125, -0.654815673828125, -0.22265625)"
2020/04/03/19:47:24.302610,"(-10.438720703125, -0.521942138671875, -0.3902587890625)"
2020/04/03/19:47:24.409305,"(-9.98382568359375, -0.730224609375, -0.3256072998046875)"
2020/04/03/19:47:24.513885,"(-10.26873779296875, -0.533905029296875, -0.465667724609375)"
2020/04/03/19:47:24.616483,"(-10.199295043945312, -0.70867919921875, -0.0059814453125)"
2020/04/03/19:47:24.720319,"(-9.956283569335938, -0.6045379638671875, -0.4297637939453125)"
2020/04/03/19:47:24.826418,"(-9.945510864257812, -0.5901641845703125, -0.305267333984375)"
2020/04/03/19:47:24.929233,"(-9.88446044921875, -0.63446044921875, -0.5793914794921875)"
2020/04/03/19:47:25.033855,"(-9.95269775390625, -0.6907196044921875, -0.131683349609375)"
