time,.x,.y,.z
2020/04/03/19:47:11.921387,-0.00215238102539,-0.00300011808982,0.000866088263469
2020/04/03/19:47:11.973287,-0.000182144425743,-0.00200528153683,6.14622827678e-05
2020/04/03/19:47:12.003011,-0.000838267805011,-0.00199397006171,-3.7288913646e-05
2020/04/03/19:47:12.033226,0.000140044814146,-2.41460983313e-06,-4.95181515187e-05
2020/04/03/19:47:12.063615,-0.00065612638115,1.13117477902e-05,-9.87511964138e-05
2020/04/03/19:47:12.094526,-0.00103402637354,-0.00101097701902,0.000804339084168
2020/04/03/19:47:12.124497,-0.00065612638115,1.13117477902e-05,-9.87511964138e-05
2020/04/03/19:47:12.165298,0.00171840266822,0.00263858173906,-0.000705588616436
2020/04/03/19:47:12.205004,0.000614026341779,-0.00201900832926,0.000110695607268
2020/04/03/19:47:12.244972,-0.00183019432112,-0.000997255824303,0.000755105880938
2020/04/03/19:47:12.285651,0.000322186206491,0.00200286727987,-0.000110980149733
2020/04/03/19:47:12.315575,-0.00065612638115,1.13117477902e-05,-9.87511964138e-05
2020/04/03/19:47:12.345652,0.000182141188536,0.00200528222383,-6.14621815883e-05
2020/04/03/19:47:12.376409,4.20963707757e-05,0.00200769662402,-1.19440300697e-05
2020/04/03/19:47:12.427202,0.0,0.0,0.0
2020/04/03/19:47:12.469248,-0.00113197271233,0.000999128474046,0.000841913760205
2020/04/03/19:47:12.499362,0.0005022397712,-0.000377677521166,0.000160213528456
2020/04/03/19:47:12.528784,0.00164805182897,-0.00100803486706,-0.000693645546413
2020/04/03/19:47:12.559438,-0.000473982173796,0.00201659468117,-0.000160213378002
2020/04/03/19:47:12.589820,-0.000796171178361,1.37273398365e-05,-4.92330448952e-05
2020/04/03/19:47:12.640819,-0.000656126364215,1.13127300034e-05,-9.87511964138e-05
2020/04/03/19:47:12.682162,-0.00183019691764,-0.000997247876696,0.000755106378943
2020/04/03/19:47:12.711891,0.0,0.0,0.0
2020/04/03/19:47:12.743351,0.00183019475602,0.000997249071638,-0.00075510782918
2020/04/03/19:47:12.774754,0.00201234001536,0.00300253263773,-0.000816567944491
2020/04/03/19:47:12.804427,0.00018214123396,0.00200528182701,-6.14620635457e-05
2020/04/03/19:47:12.854338,4.2099376273e-05,0.002007696561,-1.19440300697e-05
2020/04/03/19:47:12.883640,0.000978315358327,0.00199155407119,-1.22284903391e-05
2020/04/03/19:47:12.933625,0.000656126153569,-1.13127263715e-05,9.87516593934e-05
2020/04/03/19:47:12.966654,-4.24423345233e-05,-0.00246156238897,3.45944626126e-10
2020/04/03/19:47:12.998495,0.0019702417031,0.000994831603641,-0.000804624530459
2020/04/03/19:47:13.031347,0.000333939991521,-0.00201417861789,0.000209731565368
2020/04/03/19:47:13.065201,-0.000140044817761,2.41440018775e-06,4.95181515187e-05
2020/04/03/19:47:13.116154,0.0020123355206,0.00300253565017,-0.000816567944491
2020/04/03/19:47:13.156071,-0.000656126153569,1.13127263715e-05,-9.87516593934e-05
2020/04/03/19:47:13.185187,0.000182144190419,0.00200528195117,-6.14621815883e-05
2020/04/03/19:47:13.214899,0.00103402355711,0.00101097521962,-0.000804340874075
2020/04/03/19:47:13.266030,-0.00197023960246,-0.000994836334672,0.000804625980701
2020/04/03/19:47:13.316056,-0.000140044817761,2.41440018775e-06,4.95181515187e-05
2020/04/03/19:47:13.345716,0.000838267724456,0.00199397032909,3.72890801572e-05
2020/04/03/19:47:13.375027,-0.000656126153569,1.13127263715e-05,-9.87516593934e-05
2020/04/03/19:47:13.406746,-0.00032218923989,-0.002002866927,0.000110980434286
2020/04/03/19:47:13.437048,-0.000140044814146,2.41460983313e-06,4.95181515187e-05
2020/04/03/19:47:13.466541,0.00183019688896,0.000997246213474,-0.000755106378941
2020/04/03/19:47:13.495780,-0.00150800676495,0.00100561380564,0.000644125665873
2020/04/03/19:47:13.525517,0.00234627825645,0.000988351982223,-0.0006068376786
2020/04/03/19:47:13.557377,-0.0018301947847,-0.00099725073486,0.000755107829182
2020/04/03/19:47:13.588286,0.000978315358327,0.00199155407119,-1.22284903391e-05
2020/04/03/19:47:13.618558,-0.000182144471166,-0.00200528114001,6.1462164725e-05
2020/04/03/19:47:13.647828,-4.20966447602e-05,-0.0020076954206,1.19440132058e-05
2020/04/03/19:47:13.699081,-0.000168303052652,-0.00163650129492,4.95183818497e-05
