time,.data
2020/04/03/19:47:19.183495,"(37.75482177734375, -17.8314208984375, 15.863037109375)"
2020/04/03/19:47:19.286127,"(37.53509521484375, -17.98553466796875, 14.92156982421875)"
2020/04/03/19:47:19.385243,"(36.9232177734375, -18.33038330078125, 15.58685302734375)"
2020/04/03/19:47:19.489137,"(37.4725341796875, -18.1640625, 15.87677001953125)"
2020/04/03/19:47:19.588776,"(37.4725341796875, -18.1640625, 15.87677001953125)"
2020/04/03/19:47:19.687120,"(36.89117431640625, -17.47589111328125, 15.90728759765625)"
2020/04/03/19:47:19.788794,"(37.46795654296875, -17.828369140625, 15.8782958984375)"
2020/04/03/19:47:19.890484,"(37.1978759765625, -17.30804443359375, 15.57464599609375)"
2020/04/03/19:47:19.988714,"(37.48779296875, -17.64678955078125, 15.55938720703125)"
2020/04/03/19:47:20.090151,"(37.46795654296875, -17.828369140625, 15.8782958984375)"
2020/04/03/19:47:20.189916,"(37.79449462890625, -17.47894287109375, 15.22674560546875)"
2020/04/03/19:47:20.293520,"(37.7349853515625, -18.0023193359375, 16.18194580078125)"
2020/04/03/19:47:20.392294,"(36.66839599609375, -17.2943115234375, 14.9658203125)"
2020/04/03/19:47:20.493091,"(37.750244140625, -17.486572265625, 15.86456298828125)"
2020/04/03/19:47:20.586513,"(36.84844970703125, -17.4835205078125, 16.5435791015625)"
2020/04/03/19:47:20.686839,"(37.77008056640625, -17.315673828125, 15.545654296875)"
2020/04/03/19:47:20.784842,"(37.1063232421875, -16.9769287109375, 16.85028076171875)"
2020/04/03/19:47:20.885731,"(37.7349853515625, -18.0023193359375, 16.18194580078125)"
2020/04/03/19:47:20.980312,"(37.8143310546875, -17.30804443359375, 14.90936279296875)"
2020/04/03/19:47:21.079080,"(36.2945556640625, -17.303466796875, 16.25518798828125)"
2020/04/03/19:47:21.178102,"(37.4053955078125, -18.00689697265625, 16.83349609375)"
2020/04/03/19:47:21.278566,"(37.451171875, -18.34564208984375, 16.1956787109375)"
2020/04/03/19:47:21.381236,"(37.4847412109375, -17.3126220703125, 15.5609130859375)"
2020/04/03/19:47:21.479971,"(36.84844970703125, -17.4835205078125, 16.5435791015625)"
2020/04/03/19:47:21.581486,"(37.1337890625, -17.486572265625, 16.52984619140625)"
2020/04/03/19:47:21.681709,"(37.48779296875, -17.64678955078125, 15.55938720703125)"
2020/04/03/19:47:21.786279,"(37.42523193359375, -17.83599853515625, 16.51458740234375)"
2020/04/03/19:47:21.884870,"(37.4481201171875, -18.00079345703125, 16.1956787109375)"
2020/04/03/19:47:21.983473,"(38.287353515625, -18.182373046875, 16.47186279296875)"
2020/04/03/19:47:22.084569,"(37.225341796875, -17.81768798828125, 15.2557373046875)"
2020/04/03/19:47:22.178449,"(38.17291259765625, -17.81463623046875, 13.9373779296875)"
2020/04/03/19:47:22.277656,"(37.84637451171875, -18.15338134765625, 14.58740234375)"
2020/04/03/19:47:22.375601,"(37.6953125, -18.3563232421875, 16.8182373046875)"
2020/04/03/19:47:22.477162,"(37.4725341796875, -18.1640625, 15.87677001953125)"
2020/04/03/19:47:22.580671,"(37.73040771484375, -17.657470703125, 16.18194580078125)"
2020/04/03/19:47:22.678780,"(37.4053955078125, -18.00689697265625, 16.83349609375)"
2020/04/03/19:47:22.779289,"(38.0645751953125, -18.00079345703125, 15.5303955078125)"
2020/04/03/19:47:22.879514,"(36.87896728515625, -18.3380126953125, 16.22467041015625)"
2020/04/03/19:47:22.982828,"(36.9140625, -17.64068603515625, 15.58837890625)"
2020/04/03/19:47:23.082214,"(37.4481201171875, -18.00079345703125, 16.1956787109375)"
2020/04/03/19:47:23.182565,"(37.75482177734375, -17.8314208984375, 15.863037109375)"
2020/04/03/19:47:23.282200,"(38.42315673828125, -18.505859375, 14.55841064453125)"
2020/04/03/19:47:23.383770,"(37.98065185546875, -18.359375, 16.80450439453125)"
2020/04/03/19:47:23.485224,"(37.445068359375, -17.6544189453125, 16.19720458984375)"
2020/04/03/19:47:23.584811,"(37.3565673828125, -17.669677734375, 17.4713134765625)"
2020/04/03/19:47:23.680622,"(38.57421875, -18.1854248046875, 16.45660400390625)"
2020/04/03/19:47:23.779738,"(38.04931640625, -18.51654052734375, 15.8477783203125)"
2020/04/03/19:47:23.878394,"(37.26654052734375, -17.4652099609375, 14.617919921875)"
2020/04/03/19:47:23.977991,"(37.799072265625, -17.8253173828125, 15.22674560546875)"
2020/04/03/19:47:24.072410,"(36.6485595703125, -17.4652099609375, 15.28472900390625)"
2020/04/03/19:47:24.170311,"(37.4053955078125, -18.00689697265625, 16.83349609375)"
2020/04/03/19:47:24.270230,"(38.6016845703125, -18.695068359375, 16.1376953125)"
2020/04/03/19:47:24.370127,"(38.04931640625, -18.51654052734375, 15.8477783203125)"
2020/04/03/19:47:24.465079,"(38.6016845703125, -18.695068359375, 16.1376953125)"
2020/04/03/19:47:24.564156,"(38.311767578125, -18.3563232421875, 16.15142822265625)"
2020/04/03/19:47:24.665196,"(38.3392333984375, -18.865966796875, 15.83251953125)"
2020/04/03/19:47:24.763409,"(38.33160400390625, -18.17474365234375, 15.83404541015625)"
2020/04/03/19:47:24.867414,"(37.98065185546875, -18.359375, 16.80450439453125)"
2020/04/03/19:47:24.965282,"(38.24310302734375, -18.1884765625, 17.108154296875)"
2020/04/03/19:47:25.066091,"(37.82196044921875, -17.98858642578125, 14.9078369140625)"
2020/04/03/19:47:25.165778,"(37.17803955078125, -17.47894287109375, 15.8935546875)"
2020/04/03/19:47:25.259074,"(37.73040771484375, -17.657470703125, 16.18194580078125)"
2020/04/03/19:47:25.357393,"(37.53204345703125, -17.64068603515625, 14.92156982421875)"
2020/04/03/19:47:25.457903,"(37.66632080078125, -17.8466796875, 17.138671875)"
2020/04/03/19:47:25.559806,"(37.46490478515625, -17.4835205078125, 15.8782958984375)"
2020/04/03/19:47:25.652051,"(37.75482177734375, -17.8314208984375, 15.863037109375)"
2020/04/03/19:47:25.749950,"(37.55645751953125, -17.81463623046875, 14.6026611328125)"
2020/04/03/19:47:25.850045,"(37.6861572265625, -17.66510009765625, 16.81976318359375)"
2020/04/03/19:47:25.952178,"(36.91253662109375, -17.303466796875, 15.58990478515625)"
